time,zoneR1C1_AG_slower.Y
572400,23.06792979
574200,22.97941073
574200,22.97941073
574200,22.97941073
576000,22.99621718
576000,22.99621718
576000,22.99621718
577800,23.00871581
577800,23.00871581
577800,23.00871581
579600,22.85625347
579600,22.85625347
579600,22.85625347
581400,22.69846047
581400,22.69846047
581400,22.69846047
583200,22.53999211
583200,22.53999211
583200,22.53999211
585000,22.38048768
585000,22.38048767
585000,22.38048767
586800,22.21995482
586800,22.21995482
586800,22.21995482
588600,22.05840106
588600,22.05840105
588600,22.05840105
590400,21.89583401
590400,21.895834
590400,21.895834
592200,21.73225298
592200,21.73225297
592200,21.73225297
594000,21.56823086
594000,21.56823085
594000,21.56823085
595800,21.40431138
595800,21.40431138
595800,21.40431138
597600,21.2414099
597600,21.2414099
597600,21.2414099
599400,21.08043312
599400,21.08043311
599400,21.08043311
601200,20.92154961
601200,20.92154961
601200,20.92154961
603000,20.76497732
603000,20.76497732
603000,20.76497732
604800,20.60986649
604800,20.60986649
604800,20.60986649
606600,20.45553723
606600,20.45553723
606600,20.45553723
608400,20.30049353
608400,20.30049353
608400,20.30049353
610200,20.14326672
610200,20.14326671
610200,20.14326671
612000,19.98098929
612000,19.98098929
612000,19.98098929
613800,19.81074942
613800,19.81074941
613800,19.81074941
615600,19.63425476
615600,19.63425476
615600,19.63425476
617400,19.55552343
617400,19.55552345
617400,19.55552345
619200,19.94558754
619200,19.94558755
619200,19.94558755
621000,19.97364099
621000,19.97364098
621000,19.97364098
622800,20.00062064
622800,20.00062064
622800,20.00062064
624600,20.37972513
624600,20.37972515
624600,20.37972515
626400,20.82306397
626400,20.82306399
626400,20.82306399
628200,21.30257559
628200,21.30257561
628200,21.30257561
630000,21.80660701
630000,21.80660703
630000,21.80660703
631800,22.32698434
631800,22.32698436
631800,22.32698436
633600,22.86496248
633600,22.8649625
633600,22.8649625
635400,23.12186917
635400,23.12186917
635400,23.12186917
637200,23.18750774
637200,23.18750774
637200,23.18750774
639000,23.27431474
639000,23.27431475
639000,23.27431475
640800,23.37456237
640800,23.37456237
640800,23.37456237
642600,23.48014942
642600,23.48014943
642600,23.48014943
644400,23.58649462
644400,23.58649463
644400,23.58649463
646200,23.69042659
646200,23.69042659
646200,23.69042659
648000,23.78602451
648000,23.78602451
648000,23.78602451
649800,23.86577232
649800,23.86577232
649800,23.86577232
651600,23.92165066
651600,23.92165066
651600,23.92165066
653400,23.94977344
653400,23.94977344
653400,23.94977344
655200,23.94748537
655200,23.94748537
655200,23.94748537
657000,23.90823169
657000,23.90823169
657000,23.90823169
658800,23.83003144
658800,23.83003144
658800,23.83003144
660600,23.71962846
660600,23.71962846
660600,23.71962846
662400,23.57980898
